Source: Canadian Oil Sands Supply Costs and Development Projects (2010-­2044), p 40
Units: Thousand barrels per day

Announced + Awaiting Approval + Suspended + Approved + Under Construction + Onstream 
---
2013.7490587367904,2018.4615384615386
2012.6921962808224,1981.5384615384614
2011.9079642827885,1944.6153846153845
2011.2262832800852,1935.3846153846152
2010.5101040386664,1889.2307692307693
2010.0325813058082,1852.3076923076924
2037.4413795363316,2683.0769230769224
2041.019654296715,2683.0769230769233
2033.1478692553453,2720
2033.5224215613991,2692.307692307692
2023.2671123126074,2904.6153846153848
2016.5787531744081,2120
2013.3059293847791,2009.2307692307693
---
Under Construction + Onstream
---
2043.9703547145082,1436.9230769230762
2043.2207258130582,1446.1538461538444
2042.0279675595968,1446.153846153843
2040.2217907757845,1446.1538461538491
2038.2111411485214,1446.1538461538473
2036.4049643647088,1446.1538461538457
2034.1557630867535,1446.153846153844
2032.6230556238224,1520.0000000000011
2030.6475333824856,1612.3076923076942
2029.5575358400918,1658.4615384615372
2029.1828786761694,1676.9230769230753
2027.649332350291,1676.9230769230765
2027.1381502416646,1676.923076923075
2025.741653149832,1741.5384615384626
2023.9025509953306,1843.076923076924
2022.2681314000163,1963.0769230769226
2020.0870877365446,1963.076923076924
2018.3831473744572,1963.0769230769226
2016.8835749979519,1953.8461538461538
2016.1337363807652,1944.6153846153845
2014.7370295731957,1990.7692307692312
2014.1239256164495,2018.4615384615386
2013.4081658065045,2009.2307692307693
2012.9991152617351,2000
2012.248752355206,1944.6153846153845
2011.5670713525026,1935.3846153846155
2011.0560989596133,1953.8461538461538
2010.4420512820514,1898.4615384615383
2010.032791021545,1870.7692307692307
---
Onstream
---
2043.9337593184239,1215.3846153846175
2042.5705021708854,1206.153846153844
2041.0029818956336,1215.3846153846125
2038.75367575981,1206.1538461538466
2034.0508003604489,1206.1538461538448
2034.0508003604489,1206.1538461538448
2031.2235176538052,1316.9230769230783
2029.3163627426886,1427.6923076923092
2027.0329777996233,1418.4615384615372
2025.2279544523633,1519.9999999999986
2023.286930449742,1649.230769230769
2022.265405095437,1723.0769230769229
2018.619182436307,1741.5384615384623
2016.8810584091095,1732.3076923076928
2015.5519849266814,1732.3076923076928
2013.1681461456542,1880.0000000000002
2011.8395969525682,1926.153846153846
2010.9538625378882,1953.8461538461538
2010.0326861636765,1861.5384615384614
2014.189671499959,1806.153846153846
2019.9480462029983,1723.0769230769222
