Source: Citibank - Energy 2020 - North America, the New Middle East?, page 26
Units: Million barrels per day

---
Year, Light + Heavy + Atlantic + Oil Sands
2010.0869565217392,2.679718151973737
2010.286956521739,2.702185923612779
2010.4695652173914,2.7246216670670194
2010.6782608695653,2.7360557290415564
2010.8608695652174,2.736392024981984
2011.0869565217392,2.7810072864120428
2011.3130434782609,2.8698214428697257
2011.495652173913,2.9143566338377775
2011.6782608695653,2.9809912723196414
2011.904347826087,3.0477059812635123
2014.504347826087,3.6823284490351504
2014.7652173913043,3.760156938105534
2015.0086956521739,3.826903675234207
2015.3304347826088,3.9379934342221166
2015.5304347826086,3.993610377131877
2015.791304347826,4.071438866202259
2016.0434782608695,4.182400512450958
2016.3217391304347,4.271310753463048
2016.513043478261,4.371110577308032
2016.8347826086956,4.493250060052848
2017.1391304347826,4.626407238369765
2017.5217391304348,4.781807991032109
2017.7739130434782,4.892769637280807
2018.0347826086957,4.9816478501080965
2018.2260869565218,5.0372487789254565
2018.3826086956522,5.1148850988870205
2018.5652173913043,5.181519737368886
2018.7217391304348,5.226006886059734
2018.9217391304348,5.2926735527264
2019.1565217391305,5.359404275762671
2019.391304347826,5.392985827528225
2019.6608695652174,5.4376811594202925
2019.895652173913,5.471262711185843
2014.286956521739,3.637729201697495
2014.104347826087,3.560044839458724
2013.7304347826087,3.459908719673313
2013.5391304347827,3.4264072383697664
2013.3391304347826,3.3818400192169116
2012.9217391304348,3.281623828969494
2012.7478260869566,3.2481543758507487
2012.6,3.2147329650092082
2012.391304347826,3.1811994555208587
2012.2173913043478,3.136680278645208
2012.017391304348,3.092113059492353
2013.1130434782608,3.337224757786853
2013.9217391304348,3.5155096484906725
2017.0260869565218,4.548850988870206
2016.7043478260869,4.4267115061253905
2015.6695652173912,4.0491152213948265
2015.182608695652,3.8603731283529505
----
Year, Light + Heavy + Atlantic
2010.017391304348,1.198927055809112
2010.1913043478262,1.2102970614140443
2010.4,1.221731123388582
2010.6260869565217,1.233197213547922
2010.8695652173913,1.233645608135159
2011.0782608695652,1.2340299463527906
2011.3478260869565,1.2455761069741373
2011.5478260869565,1.2459444310993677
2011.8608695652174,1.2354712146689086
2012.1391304347826,1.247033389382657
2012.304347826087,1.2473376571382822
2012.5739130434783,1.2588838177596287
2012.7826086956522,1.2482184322203544
2013.0086956521739,1.2596845223796949
2013.2347826086957,1.249051165025223
2013.4,1.2493554327808472
2013.6434782608696,1.2608535511249905
2013.8521739130435,1.2722876130995282
2014.0260869565218,1.2726078949475543
2014.1739130434783,1.2728801345183764
2014.3478260869565,1.2842501401233088
2014.4782608695652,1.2844903515093287
2014.6434782608696,1.3068940667787656
2014.7826086956522,1.307150292257187
2014.9304347826087,1.3074225318280088
2015.1565217391305,1.318888621987349
2015.3652173913044,1.3634718552326044
2015.5478260869565,1.3638081511730322
2015.7826086956522,1.3973897029385867
2016.0347826086957,1.3978541116182241
2016.2173913043478,1.4092401313155583
2016.4173913043478,1.431707902954601
2016.6260869565217,1.4541916886860453
2016.8347826086956,1.4545760269036763
2017.0086956521739,1.488045480022421
2017.304347826087,1.5217391304347831
2017.513043478261,1.522123468652415
2017.7478260869566,1.555705020417968
2017.9478260869564,1.567123068300105
2018.1391304347826,1.5895748258467464
2018.4,1.5900552486187856
2018.6521739130435,1.6015693810553298
2018.904347826087,1.6241332372487787
2019.208695652174,1.6246937304828246
2019.408695652174,1.6140123308511498
2019.6521739130435,1.614460725438387
2019.8695652173913,1.6148610777484191
2019.9565217391305,1.6260709424293398
2011.713043478261,1.2462486988549926
2012.0086956521739,1.2357434542397312
2012.4695652173914,1.2365922011370012
2013.1304347826087,1.2378092721595004
