"Main.Project.Name";"Synonym.Project.Name";"Project.Type";"Main.Company.Name";"Synonym.Company.Name";"Company.Type"
"McMullen";"McMullen";"Project";"True North Energy";"True North Energy";"Company"
"Meadow Creek";"Meadow Creek";"Project";"Uts Energy";"UTS Energy";"Company"
"Mildred Lake";"Mildred Lake";"Project";"Value Creation Inc.";"Value Creation Inc.";"Company"
"Mildred Lake/Aurora";"Mildred Lake/Aurora";"Project";"Western Oil Sands";"Western Oil Sands";"Company"
"Mildred Lake/Aurora";"Mildred Lake/Aurora North & South";"Project";"";"";"Company"
"Muskeg River";"Muskeg River";"Project";"";"";"Company"
"Muskeg River";"Muskeg River  (Albian)";"Project";"";"";"Company"
"Muskeg River";"Muskeg River Mine";"Project";"";"";"Company"
"Muskwa";"Muskwa";"Project";"";"";"Company"
"Narrows Lake";"Narrows Lake";"Project";"";"";"Company"
"Northern Lights";"Northern Lights";"Project";"";"";"Company"
"Orion";"Orion";"Project";"";"";"Company"
"Orion";"Orion EOR";"Project";"";"";"Company"
"Peace River";"Peace River";"Project";"";"";"Company"
"Peace River";"Peace River Cadotte Lake";"Project";"";"";"Company"
"Pelican Lake";"Pelican Lake";"Project";"";"";"Company"
"Pelican Lake";"Pelican Lake Grand Rapids";"Project";"";"";"Company"
"Pierre River";"Pierre River";"Project";"";"";"Company"
"Pike";"Pike";"Project";"";"";"Company"
"Poplar Creek";"Poplar Creek";"Project";"";"";"Company"
"Primrose & Wolf Lake";"Primrose-Wolf Lake";"Project";"";"";"Company"
"Primrose & Wolf Lake";"Primrose & Wolf Lake";"Project";"";"";"Company"
"Red Earth";"Red Earth";"Project";"";"";"Company"
"Red Earth";"Red Earth CCS Pilot";"Project";"";"";"Company"
"Red Earth";"Red Earth Pilot";"Project";"";"";"Company"
"Sage";"Sage";"Project";"";"";"Company"
"Saleski";"Saleski";"Project";"";"";"Company"
"Sawn Lake";"Sawn Lake";"Project";"";"";"Company"
"Scotford Upgrader";"Scotford Upgrader";"Project";"";"";"Company"
"Peace River";"Shell Peace River";"Project";"";"";"Company"
"Steepbank";"Steepbank";"Project";"";"";"Company"
"STP McKay";"STP McKay";"Project";"";"";"Company"
"Sunrise";"Sunrise";"Project";"";"";"Company"
"Surmont";"Surmont";"Project";"";"";"Company"
"Surmont";"Surmont Pilot";"Project";"";"";"Company"
"Taiga";"Taiga";"Project";"";"";"Company"
"Tamarack";"Tamarack";"Project";"";"";"Company"
"Telephone Lake Borealis";"Telephone Lake Borealis";"Project";"";"";"Company"
"Terre de Grace";"Terre de Grace";"Project";"";"";"Company"
"Thickwood";"Thickwood";"Project";"";"";"Company"
"Total In-Situ";"Total In-Situ";"Project";"";"";"Company"
"Total In-Situ Bitumen";"Total In-Situ Bitumen";"Project";"";"";"Company"
"Total In-situ Synthetic Crude";"Total In-situ Synthetic Crude";"Project";"";"";"Company"
"Total In-Situ, Scenario Supply Push";"Total In-Situ, Scenario Supply Push";"Project";"";"";"Company"
"Total In-Situ, Scenario Techno-Vert";"Total In-Situ, Scenario Techno-Vert";"Project";"";"";"Company"
"Total In Situ";"Total In Situ";"Project";"";"";"Company"
"Total Mined Bitumen";"Total Mined Bitumen";"Project";"";"";"Company"
"Total Mined Synthetic Crude";"Total Mined Synthetic Crude";"Project";"";"";"Company"
"Total Mining";"Total Mining";"Project";"";"";"Company"
"Total Mining plus In-Situ";"Total Mining plus In-Situ";"Project";"";"";"Company"
"Total Mining, Scenario Supply Push";"Total Mining, Scenario Supply Push";"Project";"";"";"Company"
"Total Mining, Scenario Techno-Vert";"Total Mining, Scenario Techno-Vert";"Project";"";"";"Company"
"Total Oil Sands";"Total Oil Sands";"Project";"";"";"Company"
"Total Oil Sands Upgraded";"Total Oil Sands Upgraded";"Project";"";"";"Company"
"Total Oil Sands Upgraded Plus Non-Upgraded";"Total Oil Sands Upgraded Plus Non-Upgraded";"Project";"";"";"Company"
"Trout / Christina Lake";"Trout / Christina Lake";"Project";"";"";"Company"
"Tucker";"Tucker";"Project";"";"";"Company"
"Walleye";"Walleye";"Project";"";"";"Company"
"West Ells";"West Ells";"Project";"";"";"Company"
"West Kirby";"West Kirby";"Project";"";"";"Company"
"Wildwood";"Wildwood";"Project";"";"";"Company"
"Winefred Lake";"Winefred Lake";"Project";"";"";"Company"
"Voyageur South";"Voyageur South";"Project";"";"";"Company"
