Source: AEUB 2005
Unit: Thousand Cubic meters per day
---
Year,Surface Mining plus In-situ
1995.0843930635838,78.12750636493766
1995.1953757225433,78.35722689045025
1995.3063583815028,78.47667646448201
1995.4173410404624,78.81666794147536
1995.528323699422,79.26693036994945
1995.6393063583814,79.49665089546204
1995.750289017341,79.83664237245539
1995.8612716763005,79.9009564707468
1995.97225433526,80.51662532644208
1996.0832369942198,82.01446179398363
1996.1942196531793,83.62256921300593
1996.3052023121388,85.45121853498983
1996.4161849710983,87.22473238123337
1996.5271676300579,88.72256884877493
1996.6381502890174,90.49608269501842
1996.749132947977,92.04905463830038
1996.8601156069365,93.7122975330631
1996.971098265896,95.0998630491238
1997.0820809248555,96.43229308944419
1997.193063583815,97.48904575106263
1997.3040462427746,98.71120483990225
1997.415028901734,99.82309297726104
1997.5260115606936,100.93498111461986
1997.6369942196532,102.10200472771905
1997.7479768786127,103.37929929229908
1997.8589595375722,104.54632290539828
1997.9699421965317,105.4928046155359
1998.0809248554913,105.83279609252925
1998.1919075144508,106.11765209378217
1998.3028901734103,106.40250809503519
1998.4138728323699,106.68736409628809
1998.5248554913294,106.86194914606031
1998.635838150289,107.14680514731322
1998.7468208092484,107.21111924560464
1998.8578034682082,107.82678810129988
1998.9687861271677,107.94623767533172
1999.0797687861273,107.90028082214232
1999.1907514450868,107.90945944469333
1999.3017341040463,107.91863806724433
1999.4127167630058,107.92781668979532
1999.5236994219654,107.93699531234631
1999.634682080925,107.9461739348973
1999.7456647398844,107.95535255744832
1999.856647398844,107.9645311799993
1999.9676300578035,108.1942517055119
2000.078612716763,109.19586889138994
2000.1895953757225,110.08721512578713
2000.300578034682,111.03369683592483
2000.4115606936416,112.14558497328365
2000.5225433526011,113.14720215916168
2000.6335260115607,114.09368386929926
2000.7445086705202,115.15043653091772
2000.8554913294797,116.20718919253618
2000.9664739884392,117.26394185415457
2001.0774566473988,119.09259117613843
2001.1884393063583,120.9212404981223
2001.2994219653178,122.91529624732742
2001.4104046242774,124.74394556931131
2001.521387283237,126.57259489129521
2001.6323699421964,128.4563796890195
2001.7433526011562,130.45043543822453
2001.8543352601157,132.22394928446806
2001.9653179190752,134.16286955793277
2002.0763005780348,136.54287363732055
2002.1872832369943,138.70233581374677
2002.2982658959538,140.91693346591344
2002.4092485549133,143.07639564233966
2002.5202312138729,145.3461287702466
2002.6312138728324,147.67099737389407
2002.742196531792,149.8304595503203
2002.8531791907515,152.21046362970813
2002.964161849711,154.48019675761512
2003.0751445086705,156.63965893404134
2003.18612716763,159.12993396490992
2003.2971098265896,161.28939614133617
2003.408092485549,163.50399379350284
2003.5190751445086,165.82886239715023
2003.6300578034682,168.04346004931682
2003.7410404624277,170.53373508018547
2003.8520231213872,172.63806178087128
2003.9167630057802,174.79369953123455
2004.0739884393063,174.03480591948306
2004.1849710982658,172.72073312426465
2004.2959537572253,171.62720223200785
2004.4069364161849,170.14772300956832
2004.5179190751446,169.05419211731146
2004.6289017341041,168.01579670079502
2004.7398843930637,166.70172390557667
2004.8508670520232,165.4427865860987
2004.9618497109827,165.28655878142854
2005.063583815029,168.73542620496733
2005.1560693641618,173.1098047357321
2005.2485549132948,177.28569555383152
2005.3317919075143,181.19617120316437
2005.415028901734,185.17280942338576
2005.5075144508671,189.61335052503907
2005.6,193.8554039140269
2005.6832369942197,197.84858277697037
2005.7664739884392,201.6101926418042
2005.849710982659,205.38834314936017
2005.942196531792,209.58628815775566
2006.0531791907515,212.46251151880705
2006.164161849711,214.73224464671404
2006.2751445086706,216.8365713473999
2006.38612716763,218.83062709660496
2006.4971098265896,221.04522474877152
2006.6080924855492,223.14955144945742
2006.7190751445087,225.19874267440284
2006.8300578034682,227.46847580230994
2006.9410404624277,229.57280250299578
2007.0520231213873,231.78740015516235
2007.1630057803468,234.277675186031
2007.2739884393063,236.32686641097635
2007.3849710982659,238.70687049036422
2007.4959537572254,241.086874569752
2007.606936416185,243.52201412488017
2007.7179190751444,245.84688272852765
2007.828901734104,248.2268868079155
2007.9398843930635,250.66202636304362
2008.050867052023,253.70365615131604
2008.1618497109826,256.9106923668097
2008.2728323699423,260.3934059610054
2008.3838150289018,263.65557765223934
2008.4947976878614,266.862613867733
2008.605780346821,270.29019198618823
2008.7167630057804,273.7177701046435
2008.82774566474,277.1453482230986
2008.9387283236995,280.297248962852
2009.049710982659,283.44914970260527
2009.1606936416185,286.21510211217577
2009.271676300578,289.0913254732272
2009.3826589595376,292.0226843100188
2009.4936416184971,295.0091786225509
2009.6046242774567,297.995672935083
2009.7156069364162,300.87189629613437
2009.8265895953757,303.80325513292604
2009.9375722543352,306.62434301823697
2010.0485549132948,310.10705661243253
2010.1595375722543,313.9205830610705
2010.2612716763006,317.5679381972747
2010.3630057803468,321.32556428495974
2010.4739884393064,325.1390907335977
2010.584971098266,329.0628881337164
2010.6959537572254,332.821279106614
2010.806936416185,337.13102483691546
2010.9179190751445,341.1099577127746
2011.028901734104,344.31699392826823
2011.1398843930635,347.24835276506
2011.250867052023,350.28998255333244
2011.3618497109826,353.27647686586465
2011.4728323699421,355.98729379969467
2011.5838150289017,358.80838168500554
2011.6947976878612,361.684605046057
2011.8057803468207,364.56082840710826
2011.9167630057802,367.43705176815956
2012.02774566474,369.9273267990282
2012.1387283236995,371.8662470724928
2012.249710982659,373.80516734595744
2012.3606936416186,375.63381666794135
2012.471676300578,377.4624659899253
2012.5826589595376,379.45652173913044
2012.6936416184972,381.2300355853738
2012.8046242774567,383.3343622860597
2012.9156069364162,385.16301160804363
