
Source: National Energy Board - Canada's Oil Sands: A Supply and Market Outlook to 2015 
Oil Sands In-Situ
Units: Thousand cubic metres per day 
---
$22 Sensitivity
---
Year, Value
2001.1818181818182,52.013351444473976
2001.2671428571427,52.44595481049573
2001.3532467532468,53.26076729393067
2001.4357142857143,53.66794217687085
2001.527142857143,54.67707725947529
2001.6103896103896,55.207957858468234
2001.7,56.38443472627153
2001.7818181818182,56.75964086933484
2001.8675324675326,57.41117810760681
2001.95,58.11983722060262
2002.0428571428572,59.63581146744422
2002.1214285714286,60.471149173955425
2002.2071428571428,61.64680515063178
2002.2928571428572,62.80545432458705
2002.3785714285714,64.03213070942672
2002.4642857142858,65.2588070942664
2002.55,66.46847667638498
2002.6357142857144,67.62712585034026
2002.7214285714285,68.85380223517996
2002.807142857143,70.01245140913522
2002.892857142857,71.18810738581159
2002.9785714285715,72.36376336248799
2003.0642857142857,73.40336491739563
2003.15,74.42595966958223
2003.2357142857143,75.48256802721102
2003.3214285714287,76.50516277939761
2003.4071428571428,77.42571671525769
2003.4928571428572,78.48232507288643
2003.5785714285714,79.47090621963083
2003.6642857142858,80.49350097181747
2003.75,81.5501093294462
2003.8357142857142,82.57270408163276
2003.9214285714286,83.54427842565616
2004.0071428571428,84.37979834791074
2004.0928571428572,85.09627065111775
2004.1785714285713,85.62566812439275
2004.2642857142857,86.37615403304193
2004.35,86.87153790087481
2004.4357142857143,87.60501700680285
2004.5214285714285,88.15142128279896
2004.607142857143,88.8338799805638
2004.692857142857,89.38028425655989
2004.7785714285715,90.06274295432473
2004.8642857142856,90.643160835763
2004.95,91.29160592808567
2005.0357142857142,91.85501700680291
2005.1214285714286,92.4524416909623
2005.2071428571428,92.89680515063183
2005.2928571428572,93.54525024295452
2005.3785714285714,93.97260689990296
2005.4642857142858,94.58703838678345
2005.55,95.06541545189518
2005.6357142857144,95.74787414966002
2005.7214285714285,96.14121720116637
2005.807142857143,96.77265549076787
2005.892857142857,97.23402575315859
2005.9785714285715,97.79743683187576
2006.0642857142857,98.3438411078719
2006.15,98.82221817298363
2006.2357142857143,99.4536564625852
2006.3214285714287,99.77897230320718
2006.4071428571428,100.47843780369308
2006.4928571428572,100.87178085519939
2006.5785714285714,101.43519193391663
2006.6642857142858,102.03261661807602
2006.75,102.51099368318776
2006.8357142857142,103.1254251700682
2006.9214285714286,103.46774781341126
2007.0071428571428,104.20122691933939
2007.0928571428572,104.49252915451918
2007.1785714285713,105.10696064139964
2007.2642857142857,105.56833090379031
2007.35,105.87663994169118
2007.4357142857143,106.49107142857166
2007.5214285714285,106.9524416909623
2007.607142857143,107.44782555879512
2007.692857142857,107.89218901846475
2007.7785714285715,108.26852526724991
2007.8642857142856,108.93397716229369
2007.95,109.32732021380005
2008.0357142857142,109.66964285714309
2008.1214285714286,110.23305393586023
2008.2071428571428,110.4903425655979
2008.2928571428572,110.86667881438308
2008.3785714285714,111.41308309037925
2008.4642857142858,111.65336491739578
2008.55,112.04670796890203
2008.6357142857144,112.6271258503403
2008.7214285714285,112.83339407191464
2008.807142857143,113.1587099125367
2008.892857142857,113.65409378036948
2008.9785714285715,113.94539601554929
2009.0642857142857,114.37275267249778
2009.15,114.83412293488847
2009.2357142857143,115.1594387755104
2009.3214285714287,115.29767978620036
2009.4071428571428,115.72503644314888
2009.4928571428572,116.18640670553955
2009.5785714285714,116.39267492711393
2009.6642857142858,116.61594995140939
2009.75,117.0433066083579
2009.8357142857142,117.48767006802748
2009.9214285714286,117.62591107871741
2010.0071428571428,117.91721331389724
2010.0928571428572,118.34456997084568
2010.1785714285713,118.66988581146771
2010.2642857142857,118.85914723032091
2010.35,119.01439504373205
2010.4357142857143,119.44175170068054
2010.5214285714285,119.68203352769702
2010.607142857143,120.09238338192446
2010.692857142857,120.11157677356688
2010.7785714285715,120.48791302235206
2010.8642857142856,120.9152696793005
2010.95,121.17255830903815
2011.0357142857142,121.32780612244923
2011.1214285714286,121.50006073858135
2011.2071428571428,121.91041059280882
2011.2928571428572,122.15069241982535
2011.3785714285714,122.40798104956292
2011.4642857142858,122.563228862974
2011.55,122.7354834791062
2011.6357142857144,123.1458333333336
2011.7214285714285,123.38611516035013
2011.807142857143,123.57537657920341
2011.892857142857,123.79865160349881
2011.9785714285715,123.97090621963096
2012.0642857142857,124.43227648202163
2012.15,124.62153790087494
2012.2357142857143,124.75977891156488
2012.3214285714287,125.03407434402357
2012.4071428571428,125.24034256559791
2012.4928571428572,125.75273323615191
2012.5753246753247,126.10734163795414
2012.6642857142856,126.9135689990285
2012.75,127.18786443148716
2012.8428571428572,126.98615160349884
2012.9214285714286,127.03917638483996
2013.0071428571428,127.19442419825096
2013.0928571428572,127.19661078717228
2013.1785714285713,127.4028790087466
2013.2642857142857,127.55812682215775
2013.35,127.93446307094298
2013.4357142857143,128.27678571428595
2013.5214285714285,128.3299927113706
2013.607142857143,128.34918610301293
2013.692857142857,128.74252915451925
2013.7785714285715,128.93179057337244
2013.8642857142856,129.2400996112734
2013.95,129.56541545189532
2014.0357142857142,129.56760204081667
2014.1214285714286,129.58679543245893
2014.2071428571428,129.98013848396525
2014.2928571428572,130.16939990281855
2014.3785714285714,130.4096817298351
2014.4642857142858,130.8030247813414
2014.55,130.80521137026273
2014.6357142857144,130.80739795918402
2014.7214285714285,131.11570699708483
2014.807142857143,131.3559888241014
2014.892857142857,131.63028425656006
2000.942857142857,49.947886297376186
2000.642857142857,48.71574344023333
2000.4142857142858,47.485422740524854
2000.1,45.84475218658902
1999.8714285714286,45.430758017492806
